sample_id,question_id,assignment,reference_answer,student_answer,teacher_grade_raw,teacher_grade,ai_grade_multi,ai_feedback_multi,ai_confidence_multi,baseline_grade,baseline_feedback
58,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.",A a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$ if there exists a an $\alpha for every training set with zero training error,1.0,50.0,,,,,
59,7, What role does the method of steepest decent have when learning a network?,Steepest descent is used to update the weights in a NN during the learning phase. It helps to navigate the cost function and find the parameters for which the cost is minimum. The weights are updated in the direction of the steepest descent which is in a direction opposite to the gradient vector. This method could suffer from local minima and may become unstable.,Steepest descent involves weight updation in the direction of maximum steep or maximum derease in the cost function ot in the direction opposite to the gradient funcion. The weight update is $\Delta w(n) = - \eta g(n)$ where $\eta$ is the learning rate which defines the magnitude of learning using the gradient g(n) which is the gradient of the cost function of errorsin the nth iteration. Higher $\eta$ will result in rapid learning but with oscilations in responses.,2.0,100.0,,,,,
60,4,Explain classification and regression; what is the difference?,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. ,Classification is the problem where the input data has to be put in two or more classes distinctively different from each other. For example in case of binary classification on class can be -1 and the other +1 Regression on the other hand is data fitting. THe main aim is to find a hyperplane which can fit a given input pattern.,1.0,50.0,,,,,
61,12,How does a Reduced Boltzman Machine work (main idea)?,The reduced Boltzmann machine is a bi-parted graph which works by flipping the states of binary neurons based on a probability determined by the activation produced at the neuron. Neurons are arranged in a visible and a hidden layer in a recurrent fashion. There are two states involved called the clamped state in which the visible neuron is connected to the input and a free running state in which both layers run free.,"A Reduced Boltzmann machine (RBM) consists of two layers of neurons: visible and hidden. The neurons may only have two states i.e. activated or not and they flip according to a certain probability based on the weights and states of other neurons. The RBM has two modes: 1. Clamped: The visible layer is clamped to a certain input while the hidden neurons are allowed to change state until the network settles. The correlation in this state is given by $\rho{ij}^+$ 2. Free-running: In this state, the network is allowed to flip all neurons until it settles. The correlation is $\rho{ij}^-$ The weight update rule is given by $$\Delta w{ij} = \eta (\rho{ij}^+ - \rho{ij}^-)$$",2.0,100.0,,,,,
62,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"An SVM, or support vector machine, is a feedforward network with a hidden layer to learn a task in a supervised learning manner. The network tries to construct a hyperplane that separates the data points of two different classes by maximizing the margin of separation, which is the distance from the hyperplane to the closest data points called support vectors.",1.0,50.0,,,,,
63,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ",1. Initialization: n(time step or iteration) = 1 and weights are small but randomly initialized 2. Activation of perceptron: Apply training pattern to activate the perceptron 3. Compute Output: Apply Activation function to the local field(weighted sum of inputs plus bias) 4. Adjust Weights: Adjust weight if current output(y) != desired output(d) 5. Continuation: We continue by increasing n during each iteration and repeat from step 2 untill all input pattern are applied to network and also error is minimized,2.0,100.0,,,,,
64,2,"Define the mathematical model of a neuron, use the appropriate technical terms!","Mathematical model of a neuron consists of a set of synapses or connecting links where each link is characterized by a weight, an adder function (linear combiner), which computes the weighted sum (local field) of the inputs plus some bias and an activation function (squashing function) for limiting the amplitude of a neuron’s output.","Each neuron has a set of inputs and their respective weights. The local field is, $v = \sum(w{ij} * xi)$ The local field is passed through a activation function. So the output of the neuron is, $y = \phi(v)$ $y = \phi(\sum(w{ij} * xi))$",2.0,100.0,,,,,
65,5,Write down the SOM learning in pseudo code.,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space.","Parameters: $X$ data vectors, $W$ weights vectors in lattice , $\eta(n)$ -learning rate, $\sigma(n)$ - neighbourhood width, $h{ji(x)}$- neighbourhood function algo: 1) Initialize the weights to a small, random , non-repeatible values. 2) Sample a data vector with a probabiity 3) Compute the euclidean distance to weight vectors from the data points and find the winning neuron with minimum distance . 4) Update the weights of the winning neuron and its neighbourhood towards the input direction using neighbourhood function. 5) reduce the learning rate and the neighbour hood width and iterate from step 2 until no significant changes between weight vectors and inputs are seen.",2.0,100.0,,,,,
66,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ",The difference of RBF to other NNS are 1. RBF has only one hidden layer wheras their is no hard limitation on number of hidden layers on other NNs 2. The activation function used in RBF is non linear.,1.0,50.0,,,,,
67,4,Explain classification and regression; what is the difference?,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. ,"Classification: In classification, the output produced by the NN is a discrete value which indicates which class the input belongs to. Regression: In regression, the output produced by the NN is a continuous variable. This could be used for instance, to approximate a continuous function.",1.0,50.0,,,,,
68,16,"Describe how learning based on k-nearest neighbors works, use pseudo code!","Add the new data to the members of colored or classified old data, construct a sphere with k nearest data points, find the class or color which has the maximum vote and assign the new data to the class which has the maximum vote in an unsupervised manner. ","Step1: We randomly place the n neurons. Step2: For each data point whichever neuron is closer to it, the datapoint is assigned to that neuron. Step3: Once all the datapoints are assigned, the mean of the datapoints attached to each neuron is calculated and the neuron is shifted to the mean value. Step4: Step 2 and 3 are done until there is no more shift in the neurons position. In this way the neurons are adjusted.",0.0,0.0,,,,,
69,10,"Explain back propagation, use the correct technical terms!",Backpropagation lowers the error of a MLP level by level recursively backwards. It back propagates an error from the last layer to the first layer by updating the weights. The updates are determined by the local gradient at each level which is computed by partial derivatives of the error and chain rule.,back propagation is used in multilayer feedforward networks. first the forward pass is computed. The given error at the output nodes is used to compute the weight changes using widrow-hoff learning rule. then the error is given back layer by layer in the backward pass to compute the error and weight changing for each layer recursivly. The learning can be done in sequential (online) or batch mode (offline),1.0,50.0,,,,,
70,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ","given $k$ date points $(xi,yi)$ and $yi\in\{1,-1\}$ given a learning rate for each point i add a bias 1 so that point i == (1,xi,yi) ; for each point i there yi == -1 point = -1 * point; w= Nullvector; b = 0; convergance = false; while(convergence == false) convergance = true; for each point i in the training set: if(w*x<=0) do w = w+learningrate*pointi; convergance = false;",2.0,100.0,,,,,
71,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.","For all possible binary labeling of dataset A, we can find a hypothesis h that can separate the positive examples from negative examples, the H shatters A.",2.0,100.0,,,,,
72,15,"What are three items to be learned for an RBF network? Difference to other NNs, Pros/cons?","Three items to be learned are centers, weights, and biases. RBFN consists of a single hidden layer and a linear output layer. NN can have multiple hidden layers and a linear or non-linear output layer. Pros: RBFN is a universal approximator and it is easy to add more centers. Con: The bias is not unique.  ",The three items that must be learned in RBFs are: - The center of the kernel - The size(standard deviation) of the kernel,0.0,0.0,,,,,
73,1," Give a definition for the term ""artificial neural network"" and mention, how it resembles the human brain!","A neural network is a massively parallel distributed processor which is made up of simple processing units. It has a natural propensity for storing experiential knowledge. Neural networks resemble the brain in two aspects; knowledge is acquired by the network from its environment through a learning process, interneuron connection strength known as synaptic weights are used to store the acquired knowledge.",An ANN is a - massivly parallel distibuted Processor - made up of simple processing units - which have the capability of storing experiantal knowlenge - and is made up for use. An ANN resembles the brain because: 1) it gets its knowlenge through a learning process from its environment. 2) it stores its knowlenge in its interneuron connections (synaptic weights),2.0,100.0,,,,,
74,4,Explain classification and regression; what is the difference?,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. ,"The approach of classification is to classify sets of input data into their correct classes (for example, used in pattern recognition). The approach of regression is to approximize to a defined function f by calculating the error between this function and the result of an algorithm. THe difference is that, the classification approach is applied to a discret data (the samples are the different points of the input space), and regression is an analogic approach where the whole function must be approximize (for any input given).",1.0,50.0,,,,,
75,5,Write down the SOM learning in pseudo code.,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space.","1: w = initweights() // equal to zero or random initialized 2: n = 0 3: WHILE !stopcriteria() 4: winnerneuron, y = (x, w) // find on the map layer which neuron is closer to the input (euclidean distance) 5: neighborhood = defineneighboor(winnerneuron, n) // define the neighborhood size (first iterations big, and being reduced) 6: eta = definelearningrate(n) // define the learning rate (large value at the first iterations and being reduced) 7: diffw = adaptweights(neighborhood, eta) // adapt the weights just for the winner neuron and its neighborhood 8: w = w + diffw // update the weights 9: stopcritera = muststop(y, x) // look if the distance between input and the winner neuron is 0 (or really close to 0) 9: END",2.0,100.0,,,,,
76,7, What role does the method of steepest decent have when learning a network?,Steepest descent is used to update the weights in a NN during the learning phase. It helps to navigate the cost function and find the parameters for which the cost is minimum. The weights are updated in the direction of the steepest descent which is in a direction opposite to the gradient vector. This method could suffer from local minima and may become unstable.,The steepest descent is an unconstrained optimization method that seeks to minimize an error function. This function is iteratively changed in direction oposite to the gradient vector.,1.0,50.0,,,,,
77,6,Give the basic idea of an SVM using the correct terminology!,SVMs are linear learnable machines in the simplest case. It uses a decision boundary with maximum margin to classify the data into different classes. The data points which are near the decision boundary are called support vectors and the margin is determined based on these points. Kernels are used to separate non-linearly separable data and the algorithm is solved by using Quadratic Programming. ,"A SVM is an ANN for supervised learning, whicht is able to saperate two classes of data-points by using a hyperlane found by quadratic programming, by finding the biggest margin. The goal is to classify future data in there two classes.",1.0,50.0,,,,,
78,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.",when all combinations of position and labeling of the data can be separated in the given classes by the hypothesis,2.0,100.0,,,,,
79,3,"Assume you want to binary classify linear separable data point using a perceptron. Write down the learning algorithm in pseudo code!
","Label the data with positive and negative (+/-) labels, initialize the weights randomly, apply (simplified) update rule: Dw = eta*x(n) if <w,x> <= 0, repeat on all epochs till the weights don’t change much. The algorithm will converge as the data is linearly separable.  ",pick random decision boundary while one of data points is in wrong class turn decision boundary by using vector of wrong data point (negative rule or positive),1.0,50.0,,,,,
80,8,Define: a hypothesis $h \in H$ shatters a dataset $A \subseteq X \Leftrightarrow \ldots$,"For all 2^N possible binary labeling of every data, if a hypothesis h splits the positive data from the negative data with no error, then it means that the hypothesis h shatters the dataset A.","A hypothesis h is model that separates a dataset consisting of {(xi , yi)} samples into positive and negative samples. h is said to shatter a given subset of a dataset if it can successfully separate at least one configuration of the subset of dataset.",0.0,0.0,,,,,
